customer_id,customer_name,customer_address,phone_number,email,valid_from,valid_to
1125,Caitlin Walker,"25730 Jordan Glens
Natashaburgh, TX 14127",159-567-2409x914,marksimpson@yahoo.com,2024-03-20,9999-12-31
1128,Sheila Smith,"832 Moore Causeway Apt. 295
Petersonport, NE 70527",847.582.6112x46147,glassgabrielle@shaffer.net,2024-10-22,9999-12-31
1131,Jonathon Garcia,"852 Cohen Knolls
Baileyberg, FL 50623",694-165-4868x8928,durannicholas@cruz.com,2024-02-10,9999-12-31
1132,Jason Johnson,"0822 Hayes Run Apt. 230
Johnberg, OK 59668",(674)707-8307x2244,wkhan@hotmail.com,2024-10-16,9999-12-31
1133,Alexis Andersen,"835 Baldwin Hill
Williamview, MS 81351",412-710-7880x06641,sharismith@potter-martinez.org,2024-11-15,9999-12-31
1135,Laura Garcia,"Unit 7049 Box 6746
DPO AE 57337",+1-219-330-3482,heatherjones@fisher-simpson.com,2024-01-23,9999-12-31
1136,Paula Wallace,"7685 Stephenson Wells
Rogersfort, WA 25907",851.488.7590,michael51@hotmail.com,2024-04-01,9999-12-31
1137,Melissa Williams,"092 Michael Camp Apt. 547
New Jonathanmouth, OK 25320",944.753.2471x9620,umiller@church.com,2024-11-23,9999-12-31
1138,Mr. Nicholas Rhodes,"8514 Jeremiah Plaza
Terrybury, CT 21986",722.429.8400,susanbailey@yahoo.com,2024-03-20,9999-12-31
1139,Monique Jones,"065 Heather Route
West Andreafort, CA 50012",1399509257,christopherrodriguez@ferguson.com,2024-10-07,9999-12-31
1140,Bryan Lowe,"8557 Pamela Squares
South Michaeltown, MT 09574",338.246.7463x1880,jonesrachael@obrien-george.com,2024-07-19,9999-12-31
1141,Charles Jimenez,"283 Fitzpatrick Shoals
South Tina, OH 10782",(050)207-9153,rscott@yahoo.com,2024-07-26,9999-12-31
1142,Jose Thompson,"Unit 7648 Box 9504
DPO AP 14164",0928875051,aaronbaldwin@hensley-vargas.com,2024-10-30,9999-12-31
1143,Thomas Trevino,"8984 Jones Well Apt. 442
Davisland, CA 21129",001-533-877-8707x1893,mistymckenzie@ingram.com,2024-01-14,9999-12-31
1144,Tamara Mckee,"07920 Robert Road Suite 591
East Robynstad, CA 09005",0306655132,dgibson@hotmail.com,2024-05-01,9999-12-31
1145,Phillip Johnson,"7182 William Summit
Fordbury, AR 60752",001-964-581-6969x374,david13@gmail.com,2024-06-08,9999-12-31
1146,Austin Miller,"069 Karen Roads Apt. 535
South David, MA 33754",6120286418,zcarney@yahoo.com,2024-11-12,9999-12-31
1148,Susan Flores,"11958 Monique Radial
Gregoryton, NH 84504",+1-519-930-7580x41920,bernardgregory@howell.com,2024-05-22,9999-12-31
1149,Terri Aguilar,"Unit 6245 Box 6703
DPO AA 27816",001-789-502-2055x8699,victorroth@richardson-brown.com,2024-11-12,9999-12-31
1001,Michelle Mcbride,"0613 Sanders Islands Suite 871
Catherineport, MN 20654",(220)633-2698x716,millergabriella@greene.com,2024-09-10,9999-12-31
1002,Caleb Carter,"USNS Young
FPO AP 70550",(838)696-0925x780,wardjennifer@hotmail.com,2024-03-18,9999-12-31
1006,Jennifer Adams,"27070 Young Views Apt. 973
Russellside, TX 46865",(860)022-1416,todd23@hotmail.com,2024-08-21,9999-12-31
1008,Cameron Patrick,"76801 Ruiz Roads
Lisaview, ND 46964",527.433.0454x28798,kathy09@gmail.com,2024-07-15,9999-12-31
1009,Brian Klein,"3691 Hall Greens
East Jenniferburgh, MA 37230",089.818.6903x976,klambert@gmail.com,2024-08-25,9999-12-31
1012,James Wood,"27108 Valenzuela Track
Mclaughlinbury, CA 55514",(238)466-5589x423,paguilar@gmail.com,2024-05-20,9999-12-31
1013,Jeffrey Reid,"45623 Carter Road Apt. 269
Port Brooke, ND 58705",(975)717-8886,williamwilson@franklin.net,2024-03-09,9999-12-31
1014,Stephanie Perez,"7888 Lee Station
Raymondville, NC 92293",896-664-7563x040,curtis83@williams.com,2024-09-28,9999-12-31
1015,Lisa Strickland,"USNS Mullins
FPO AA 32432",(341)883-0965x098,kathyharris@booker-garcia.com,2024-04-01,9999-12-31
1017,Emily Stark,"779 John Union
Port Daniel, KY 36281",(948)584-0349x382,nicole17@yahoo.com,2024-05-01,9999-12-31
1019,Zachary Ramos,"99482 Donald Viaduct Suite 025
East Michelle, NC 73134",584.260.9761x6212,cheyennebrown@nelson-whitehead.com,2024-07-21,9999-12-31
1021,Christopher Jones,"974 Warren Oval Suite 758
East Alexandra, MD 97793",106.449.4907x68325,khernandez@little.info,2024-05-10,9999-12-31
1022,Brenda Simpson,"0274 Simmons Views
North Kyle, RI 73851",404.284.9665,johnsamy@simpson.com,2024-12-15,9999-12-31
1023,Krista Wright DDS,"4032 Gabriella Plains Apt. 331
Jennifertown, CO 56996",+1-486-643-0471x5433,beth04@hart-green.info,2024-01-27,9999-12-31
